daily_screen_time_minutes,app_opens_per_day,notifications_received,time_spent_on_social_apps,time_spent_on_educational_apps
162,122,57,307,5
495,46,217,170,73
330,156,140,146,8
166,34,157,174,20
131,109,161,292,28
80,61,63,123,84
674,143,129,318,6
181,82,170,265,132
526,115,161,195,164
274,71,125,58,88
390,115,84,189,156
518,151,122,266,144
147,170,209,45,167
432,162,173,325,128
159,48,175,32,37
190,55,113,335,165
368,32,93,332,175
403,179,236,55,105
551,90,121,192,16
473,105,226,39,71
445,47,108,340,69
251,85,162,283,165
336,64,102,161,172
220,81,155,162,78
519,153,137,111,47
373,47,119,341,48
81,47,91,307,33
312,127,203,234,145
620,63,63,70,16
534,103,172,172,99
118,49,217,205,50
570,94,198,82,134
535,147,178,209,39
249,111,237,144,85
622,148,170,169,94
626,140,77,333,12
303,46,42,77,97
564,140,151,324,158
190,135,30,199,94
544,22,57,189,166
706,122,157,345,119
80,174,137,290,109
226,156,145,73,139
333,81,144,120,62
447,70,204,283,118
660,171,154,72,79
375,78,137,79,161
73,137,42,127,124
301,179,185,24,168
405,115,213,122,25
624,132,196,215,168
399,81,124,281,142
151,71,223,66,105
426,31,128,330,156
514,58,31,327,103
487,149,247,163,40
568,150,167,288,100
94,132,47,143,156
265,120,239,125,155
140,132,118,177,41
621,100,60,166,16
447,132,191,164,117
61,21,17,139,17
449,149,36,338,27
625,73,36,294,103
165,106,235,111,109
536,148,30,77,34
461,166,39,248,21
615,145,106,136,117
221,149,37,337,66
261,72,120,298,88
329,179,201,146,116
330,179,234,148,90
515,87,206,77,145
521,142,70,141,23
311,164,57,20,104
355,57,156,258,144
397,43,13,309,151
112,88,44,115,80
276,135,201,145,13
247,117,58,137,32
439,158,26,67,132
552,163,181,108,56
100,116,229,256,87
216,143,167,291,115
74,89,230,208,148
124,112,55,211,121
580,22,126,88,73
403,167,15,297,103
188,166,108,266,144
707,109,133,95,29
531,166,242,173,127
122,167,46,163,57
198,115,33,105,155
558,71,102,204,148
652,147,55,304,61
451,58,190,239,43
478,101,104,88,113
348,123,108,66,46
438,148,197,113,171
549,30,234,257,146
290,170,125,223,126
100,178,200,237,137
87,61,222,58,167
194,118,169,119,79
260,26,224,308,150
92,163,170,273,80
107,109,76,241,13
562,131,137,42,78
466,79,27,269,149
633,132,34,29,11
158,21,243,265,178
606,148,232,344,145
672,67,63,119,172
521,159,67,309,174
702,56,76,199,141
64,179,113,242,31
277,28,183,269,126
562,118,33,166,9
457,166,123,115,33
